"place","population","pct_under_18","pct_between_18_64","pct_over_64","male_female_ratio","male","female"
"Los Angeles city",3485398.0,24.8,65.3,10.0,99.6,1728757.0,1756641.0
"San Diego city",1110549.0,23.1,66.7,10.2,103.7,596365.0,514184.0
"San Jose city",782248.0,26.7,66.1,7.2,102.8,413027.0,369221.0
"San Francisco city",723959.0,16.1,69.3,14.6,99.4,357636.0,366323.0
"Long Beach city",429433.0,25.5,63.7,10.8,101.0,219011.0,210422.0
"Oakland city",372242.0,24.9,63.1,12.0,89.2,145919.0,226323.0
"Sacramento city",369365.0,26.2,61.7,12.1,90.4,149223.0,220142.0
"Fresno city",354202.0,31.7,58.2,10.1,89.8,140972.0,213230.0
"Santa Ana city",293742.0,30.5,63.9,5.6,116.8,196220.0,97522.0
"Anaheim city",266406.0,25.9,65.7,8.4,101.5,137199.0,129207.0
"Riverside city",226505.0,29.0,62.1,8.9,95.7,103513.0,122992.0
"Stockton city",210943.0,31.8,57.8,10.5,94.9,94713.0,116230.0
"Huntington Beach city",181519.0,21.0,70.7,8.3,101.3,93119.0,88400.0
"Glendale city",180038.0,21.7,65.0,13.3,89.5,71115.0,108923.0
"Bakersfield city",174820.0,30.8,60.0,9.2,90.6,70977.0,103843.0
"Fremont city",173339.0,25.8,67.6,6.7,98.7,84416.0,88923.0
"Modesto city",164730.0,30.2,59.4,10.5,90.1,66057.0,98673.0
"San Bernardino city",164164.0,31.6,58.4,10.0,94.5,73053.0,91111.0
"Garden Grove city",143050.0,26.3,65.0,8.7,101.6,73814.0,69236.0
"Oxnard city",142216.0,30.7,61.6,7.7,105.0,78219.0,63997.0
"Chula Vista city",135163.0,26.1,62.3,11.7,93.2,58390.0,76773.0
"Ontario city",133179.0,32.9,60.7,6.4,100.3,66989.0,66190.0
"Torrance city",133107.0,20.4,67.6,11.9,94.6,59366.0,73741.0
"Pomona city",131723.0,32.8,60.2,7.0,105.1,72579.0,59144.0
"Pasadena city",131591.0,22.0,64.8,13.2,92.6,56058.0,75533.0
"Oceanside city",128398.0,26.2,59.8,14.0,96.3,59448.0,68950.0
"East Los Angeles CDP",126379.0,33.4,59.0,7.6,98.6,61420.0,64959.0
"Moreno Valley city",118779.0,36.9,59.1,4.0,96.9,55707.0,63072.0
"Sunnyvale city",117229.0,19.2,70.4,10.4,101.9,60842.0,56387.0
"Fullerton city",114144.0,22.6,67.2,10.2,99.5,56501.0,57643.0
"Santa Rosa city",113313.0,23.8,59.9,16.3,87.3,42266.0,71047.0
"Hayward city",111498.0,24.8,64.5,10.7,94.4,49505.0,61993.0
"Concord city",111348.0,24.6,65.9,9.5,94.3,49327.0,62021.0
"Orange city",110658.0,24.4,66.9,8.7,99.2,54444.0,56214.0
"Santa Clarita city",110642.0,28.0,65.8,6.3,98.2,53329.0,57313.0
